design,sbj,Imb,Loss,FI,PCG
EBCD(2/3),3,1.2276,0.6367999999999401,0.29600000000002835,0.5727
EBCD(2/3),4,0.8962,0.5255,0.3886666666667078,0.59595
EBCD(2/3),5,1.3424,0.49407999999993474,0.3655200000000317,0.59112
EBCD(2/3),6,0.9956,0.4189333333333104,0.4157111111111507,0.6048333333333333
EBCD(2/3),7,1.4204,0.41131428571434625,0.39784761904765154,0.5987142857142856
EBCD(2/3),8,1.0884,0.3674,0.4314500000000384,0.607125
EBCD(2/3),9,1.4988,0.36968888888895013,0.4174518518518845,0.6020888888888889
EBCD(2/3),10,1.149,0.3291600000000164,0.4423733333333707,0.60937
EBCD(2/3),11,1.5204,0.3196363636363332,0.43054545454548715,0.6066181818181818
EBCD(2/3),12,1.187,0.2923666666666774,0.4502222222222587,0.611625
EBCD(2/3),13,1.5578,0.28683076923072764,0.43995897435900677,0.6093230769230769
EBCD(2/3),14,1.2084,0.2615428571428483,0.4561523809524167,0.6139928571428571
EBCD(2/3),15,1.5746,0.25642666666663894,0.446866666666699,0.61144
EBCD(2/3),16,1.2618,0.243125,0.46060416666670195,0.61425
EBCD(2/3),17,1.6098,0.23872941176467144,0.4527882352941498,0.6116705882352941
EBCD(2/3),18,1.2808,0.22306666666665306,0.46467037037040515,0.6146055555555555
EBCD(2/3),19,1.6302,0.22176842105260725,0.457519298245646,0.6127842105263157
EBCD(2/3),20,1.2996,0.20880000000000754,0.467976666666701,0.61541
EBCD(2/3),21,1.6326,0.2034666666666496,0.46142222222225404,0.6139571428571428
EBCD(2/3),22,1.3008,0.19098181818182663,0.4707515151515491,0.6163181818181818
EBCD(2/3),23,1.6358,0.18768695652172807,0.464637681159452,0.6149434782608695
EBCD(2/3),24,1.2948,0.17550000000001054,0.47305555555558926,0.6172583333333334
EBCD(2/3),25,1.633,0.1726399999999768,0.46721066666669825,0.615764
EBCD(2/3),26,1.2908,0.16033846153846837,0.4748820512820847,0.6178923076923077
EBCD(2/3),27,1.6344,0.1600592592592382,0.4694345679012661,0.6165888888888889
EBCD(2/3),28,1.2952,0.15008571428571005,0.47647857142860467,0.6184821428571429
EBCD(2/3),29,1.6332,0.1473931034482817,0.47136551724141074,0.617355172413793
EBCD(2/3),30,1.2984,0.13997333333334117,0.4778755555555886,0.6190233333333333
EBCD(2/3),31,1.6444,0.1408516129032105,0.47307526881723566,0.6176935483870968
EBCD(2/3),32,1.2892,0.130825,0.4791250000000329,0.6195656249999999
EBCD(2/3),33,1.6416,0.1322909090908896,0.4744888888889202,0.6183484848484847
EBCD(2/3),34,1.319,0.12669411764705432,0.48014117647062104,0.6196117647058823
EBCD(2/3),35,1.652,0.12674285714286973,0.47598476190479316,0.6186057142857142
EBCD(2/3),36,1.3222,0.12096666666665926,0.48128148148151406,0.6198916666666665
EBCD(2/3),37,1.6744,0.12294054054053356,0.4772180180180492,0.6186918918918918
EBCD(2/3),38,1.3398,0.11704210526315371,0.4822035087719623,0.6199710526315789
EBCD(2/3),39,1.6786,0.11788717948718493,0.4783982905983217,0.6187923076923076
EBCD(2/3),40,1.3394,0.11135000000000239,0.48310500000003226,0.6200625
EBCD(2/3),41,1.6734,0.11188292682926095,0.47948292682929927,0.6190073170731707
EBCD(2/3),42,1.3246,0.1050761904761869,0.4839396825397147,0.6203261904761904
EBCD(2/3),43,1.6616,0.1057860465116197,0.48038759689925575,0.619460465116279
EBCD(2/3),44,1.329,0.10064545454545935,0.4846212121212442,0.6205249999999999
EBCD(2/3),45,1.6712,0.10176000000001173,0.48125777777780865,0.6195511111111109
EBCD(2/3),46,1.3392,0.09707826086956192,0.4852884057971334,0.6205608695652173
EBCD(2/3),47,1.6876,0.09930212765956481,0.48209929078017266,0.6196617021276594
EBCD(2/3),48,1.348,0.09321666666667268,0.48594444444447626,0.6207062499999998
EBCD(2/3),49,1.657,0.09141224489795291,0.4829428571428879,0.6202040816326528
EBCD(2/3),50,1.32,0.08723200000000692,0.48661733333336504,0.6211699999999998
ABCD(2),1,1.0,1.0,0.0,0.4936
ABCD(2),2,1.0134,1.0134,0.0,0.49345
ABCD(2),3,1.2062,0.6082666666666134,0.20267999999998146,0.5476
ABCD(2),4,1.1256,0.5828,0.19324999999998546,0.545775
ABCD(2),5,1.2406,0.3947199999999461,0.2884014117646819,0.57026
ABCD(2),6,1.145,0.39993333333330067,0.2720986123680035,0.5665166666666667
ABCD(2),7,1.2486,0.2857142857143178,0.3301268778280278,0.5800857142857143
ABCD(2),8,1.1458,0.30135,0.31360255656106223,0.5765
ABCD(2),9,1.247,0.22142222222221788,0.3540927300150551,0.5865111111111111
ABCD(2),10,1.145,0.2377200000000244,0.3383622262443184,0.58296
ABCD(2),11,1.2456,0.18072727272724504,0.3694270505964335,0.5904818181818182
ABCD(2),12,1.1392,0.19859999999998396,0.35493582202108936,0.5873750000000001
ABCD(2),13,1.2532,0.1553846153846261,0.37957134702398726,0.5931153846153847
ABCD(2),14,1.145,0.17037142857142107,0.36684064641238345,0.5903285714285715
ABCD(2),15,1.2422,0.13157333333333812,0.3876806033182204,0.5958466666666667
ABCD(2),16,1.1588,0.15185,0.3755097963800621,0.5924625000000001
ABCD(2),17,1.2552,0.11924705882350209,0.39379662496669837,0.5974
ABCD(2),18,1.1624,0.13515555555553957,0.38320108597282165,0.5945666666666667
ABCD(2),19,1.2552,0.1067789473684271,0.39928858299592057,0.5990105263157895
ABCD(2),20,1.136,0.11888000000001184,0.389464461538432,0.59704
ABCD(2),21,1.2482,0.0953142857142791,0.40297634992455417,0.6001476190476192
ABCD(2),22,1.1484,0.10934545454544489,0.3936170053475637,0.5978636363636365
ABCD(2),23,1.2414,0.0857739130434974,0.40608669109003576,0.6012956521739131
ABCD(2),24,1.144,0.09949999999999186,0.39716230973051486,0.5991041666666668
ABCD(2),25,1.2468,0.07964799999999535,0.40841417028246824,0.601728
ABCD(2),26,1.1272,0.0909846153846213,0.40027374361479917,0.6001153846153847
ABCD(2),27,1.2326,0.07179259259259196,0.41017062021294165,0.6027666666666667
ABCD(2),28,1.1394,0.08541428571428228,0.4021190321284133,0.6007607142857143
ABCD(2),29,1.2444,0.06844137931034962,0.41151776732885137,0.6032413793103448
ABCD(2),30,1.1364,0.07909333333333012,0.40427722636660746,0.6015999999999999
ABCD(2),31,1.2304,0.06214193548387612,0.41297469724282493,0.6039677419354839
ABCD(2),32,1.1424,0.074925,0.4058038533386019,0.60209375
ABCD(2),33,1.2444,0.06009696969695498,0.41400623211443566,0.6042090909090909
ABCD(2),34,1.1546,0.07102352941176826,0.4075522931608435,0.6024647058823529
ABCD(2),35,1.2416,0.056411428571427016,0.41546148814616213,0.6046714285714285
ABCD(2),36,1.151,0.06641111111110315,0.40925217330449515,0.6030222222222222
ABCD(2),37,1.2426,0.0533405405405412,0.41666558038529405,0.6049513513513514
ABCD(2),38,1.1602,0.06369473684210077,0.410793814099851,0.6032736842105263
ABCD(2),39,1.2456,0.05101538461539397,0.41790625023906885,0.6050846153846153
ABCD(2),40,1.1378,0.05917000000000592,0.41234013244463047,0.6038049999999999
ABCD(2),41,1.2392,0.047843902439018995,0.41875714499619465,0.6054097560975609
ABCD(2),42,1.1328,0.05599999999999495,0.41332358659884927,0.6041666666666666
ABCD(2),43,1.243,0.04599069767441542,0.41935835955072137,0.6055744186046511
ABCD(2),44,1.1516,0.05461818181817691,0.4142241310993937,0.6042136363636362
ABCD(2),45,1.249,0.04444444444444808,0.4201973464867261,0.6058377777777777
ABCD(2),46,1.1358,0.051608695652171514,0.41537834062664664,0.6047673913043478
ABCD(2),47,1.242,0.04202553191489205,0.42086706178978306,0.6061042553191488
ABCD(2),48,1.158,0.05078333333332912,0.41610694672044457,0.60476875
ABCD(2),49,1.256,0.04143673469387448,0.4215974892243478,0.6061224489795918
ABCD(2),50,1.1544,0.04836799999999752,0.4172398779013992,0.6050159999999999
GBCD(1),1,1.0,1.0,0.0,0.4914
GBCD(1),2,0.0,0.0,1.0,0.7457
GBCD(1),3,1.0,0.3333333333333731,0.6666666666666666,0.6649666666666666
GBCD(1),4,0.658,0.329,0.6666666666666865,0.666475
GBCD(1),5,1.161,0.32879999999996207,0.5991333333333493,0.64912
GBCD(1),6,0.9288,0.33039999999998254,0.576677777777792,0.6436166666666666
GBCD(1),7,1.318,0.32765714285718645,0.5385238095238198,0.6345571428571428
GBCD(1),8,1.1326,0.33155,0.5182797619047651,0.6293249999999999
GBCD(1),9,1.4858,0.3395555555556035,0.49215423280423565,0.6218666666666666
GBCD(1),10,1.3028,0.33256000000002256,0.4759565873015859,0.6188299999999999
GBCD(1),11,1.6034,0.33083636363633917,0.4563750793650803,0.6145999999999999
GBCD(1),12,1.4572,0.3335333333333571,0.44263776214526035,0.6111416666666666
GBCD(1),13,1.7392,0.33427692307686596,0.427270754800753,0.6071307692307693
GBCD(1),14,1.5916,0.3317714285714185,0.41586350308421827,0.60475
GBCD(1),15,1.8418,0.32991999999995875,0.40329736478336503,0.6021133333333334
GBCD(1),16,1.7182,0.329725,0.3934396128177398,0.59959375
GBCD(1),17,1.9562,0.3314352941176147,0.38292992971081397,0.596764705882353
GBCD(1),18,1.8382,0.33295555555552536,0.3744416656419101,0.5946666666666667
GBCD(1),19,2.056,0.3324631578947405,0.36548391715783174,0.5924947368421053
GBCD(1),20,1.9448,0.3332399999999886,0.35803077393151883,0.59065
GBCD(1),21,2.1684,0.33626666666671556,0.3502426418395427,0.5882952380952381
GBCD(1),22,2.0696,0.3381818181817796,0.3437095347429391,0.5865272727272728
GBCD(1),23,2.2678,0.33756521739126716,0.33694587908217877,0.5848130434782609
GBCD(1),24,2.174,0.33613333333330786,0.3311231341204232,0.5832333333333334
GBCD(1),25,2.3606,0.335999999999991,0.3251248754222732,0.5816680000000001
GBCD(1),26,2.2714,0.3373076923077094,0.3198834571368009,0.5802423076923078
GBCD(1),27,2.4522,0.33739259259258286,0.3145071467585154,0.5787259259259261
GBCD(1),28,2.351,0.33381428571430183,0.30976205024729836,0.5777214285714286
GBCD(1),29,2.519,0.3318620689654653,0.3048712406328591,0.5765620689655173
GBCD(1),30,2.4226,0.3315866666666523,0.30049967054279897,0.5756166666666668
GBCD(1),31,2.599,0.33140645161291327,0.2960160252564725,0.5745451612903227
GBCD(1),32,2.5074,0.3313125,0.2920054438220467,0.5736468750000001
GBCD(1),33,2.6924,0.335612121212144,0.287905657645621,0.5724515151515153
GBCD(1),34,2.614,0.33515294117644556,0.2842371311729774,0.5714735294117648
GBCD(1),35,2.7782,0.3357257142857159,0.2805093475932449,0.5704400000000001
GBCD(1),36,2.7092,0.33728888888889713,0.2771272625410519,0.5694416666666667
GBCD(1),37,2.8832,0.3426594594595015,0.27370520439429624,0.5683432432432434
GBCD(1),38,2.7946,0.33988421052627454,0.2706037160851997,0.5677105263157896
GBCD(1),39,2.9498,0.3406153846154032,0.26743654927599725,0.5667820512820514
GBCD(1),40,2.8794,0.3405099999999968,0.26453243041589225,0.5659925000000001
GBCD(1),41,3.0208,0.340760975609713,0.26159188333257777,0.5652317073170733
